Sales,Price,Feature,Display,Price - Competitor 1,Price - Competitor 2,Price - Competitor 3,Price - Competitor 4,Price - Competitor 5
166,5.01,1,1,4.00,4.09,5.74,4.81,3.69
91,5.56,0,0,4.00,3.87,6.19,4.28,2.50
283,5.00,1,1,4.00,4.11,5.77,4.09,3.69
55,5.71,0,0,4.00,3.49,5.00,3.85,2.86
9,5.25,0,0,4.00,4.76,6.39,4.49,2.95
49,6.29,0,0,4.00,4.76,6.39,4.83,2.64
136,5.11,1,0,4.00,3.82,5.03,5.12,3.69
177,5.04,1,1,4.00,3.87,5.00,5.07,3.69
24,5.50,1,0,4.13,3.84,5.99,5.19,3.09
64,5.78,0,0,4.13,3.60,4.50,3.90,2.40
43,6.21,0,0,4.13,4.89,6.39,5.49,3.00
60,5.78,0,0,4.13,3.48,4.99,4.25,2.94
33,6.18,0,0,4.00,4.63,6.39,5.56,3.00
80,5.79,0,0,4.00,3.19,5.99,3.50,1.67
73,5.05,1,0,4.00,3.00,4.49,4.65,2.24
223,5.59,1,1,4.00,3.92,5.08,5.03,3.19
78,5.79,0,0,4.00,3.18,5.99,3.50,3.29
133,5.03,1,0,4.13,4.16,5.40,3.68,2.05
75,6.09,0,0,4.13,3.32,6.19,3.63,2.00
96,5.59,0,0,4.13,3.93,5.86,3.94,2.50
29,6.09,0,0,4.00,3.18,5.50,3.33,3.49
57,6.29,0,0,4.00,3.92,5.04,4.41,2.82
96,5.05,0,0,4.14,3.19,5.00,4.47,3.79
58,6.19,0,0,4.14,3.25,6.39,3.67,2.00
78,5.78,0,0,4.14,3.34,4.99,4.35,2.00
69,5.78,0,0,4.14,3.22,5.78,3.54,3.09
63,5.79,0,0,4.14,3.45,3.09,5.09,3.29
117,5.48,0,1,3.99,3.35,4.50,3.51,2.51
107,5.48,1,0,3.99,2.86,4.55,3.52,3.09
107,5.48,1,0,3.99,3.23,4.50,3.17,3.09
55,5.79,0,0,3.99,3.96,5.59,5.09,3.29
112,5.10,1,0,3.99,4.16,5.49,3.62,2.12
59,5.89,0,0,3.99,3.65,5.07,3.68,3.29
19,5.79,0,0,4.14,3.39,5.99,3.58,3.19
55,6.22,0,0,4.14,4.78,6.39,5.30,3.22
47,6.19,0,0,4.14,4.78,6.39,5.42,3.00
61,6.19,0,0,4.14,3.57,5.50,3.33,3.69
51,5.99,0,0,3.99,3.30,5.39,4.62,3.49
158,5.59,1,1,4.14,3.84,5.59,5.07,2.24
83,5.59,1,0,4.14,3.93,5.85,5.03,3.19
26,5.79,0,0,3.99,3.60,5.99,5.25,2.25
79,5.79,0,0,3.99,3.42,5.99,5.19,2.50
63,5.78,0,0,3.99,3.39,4.99,4.67,2.24
42,5.79,1,0,4.14,3.59,5.99,3.36,3.19
45,5.81,0,0,3.99,3.85,6.39,4.47,2.60
15,6.39,0,0,3.99,4.20,6.59,3.73,2.00
40,5.99,0,0,3.99,3.59,5.10,3.96,2.58
44,5.78,0,0,3.99,3.48,5.39,4.36,2.50
42,5.78,0,0,4.14,3.36,5.68,3.48,2.29
36,5.78,0,0,3.99,3.48,4.49,3.53,2.39
54,5.48,0,0,3.99,3.50,5.68,3.78,2.39
27,6.09,0,0,4.14,3.14,6.19,3.71,2.00
42,6.19,0,0,4.14,3.22,6.39,3.62,2.00
72,4.75,1,0,4.14,3.61,4.96,4.27,3.09
198,5.01,1,1,3.99,3.08,5.99,4.99,3.03
49,5.48,0,1,3.99,4.34,6.26,4.56,2.10
126,5.00,1,0,3.99,3.81,5.00,4.61,2.50
241,4.99,1,1,3.99,3.74,5.03,5.08,2.50
545,4.04,1,1,3.99,3.70,5.16,5.24,2.50
192,5.90,1,1,3.99,4.32,6.14,4.61,2.05
441,4.05,1,1,4.14,3.50,5.99,4.00,3.00
34,6.29,0,0,4.15,3.92,5.15,4.20,2.75
58,5.84,0,0,3.98,3.68,5.99,4.00,3.00
138,5.59,1,0,3.98,3.54,5.45,4.99,2.53
125,5.19,1,0,4.15,3.40,6.39,3.68,2.19
129,5.59,0,1,4.15,3.56,5.86,5.03,3.06
70,5.61,0,0,3.98,3.57,6.49,3.99,2.50
119,5.35,1,0,3.98,4.78,6.39,5.65,3.29
121,5.86,0,1,3.98,3.61,6.49,3.94,2.50
114,5.23,0,1,3.98,3.52,5.07,4.27,3.79
59,6.29,0,0,3.98,4.47,6.29,5.39,3.39
58,5.89,0,0,3.98,3.51,5.99,4.80,3.39
63,5.89,0,0,3.98,3.36,5.99,4.80,3.39
22,5.89,0,0,3.98,3.36,5.99,4.80,3.39
29,6.23,0,0,3.98,3.60,6.39,5.00,3.89
49,5.89,0,0,3.98,3.35,5.99,4.71,3.39
